threshold	decision_strategy	sample_size	setting_id	delta_above0	p_above50	p_above55	p_above60	p_above65	p_above70	p_above75	p_above80	p_above85	p_above90	p_above95
0.27	phat1	250	1	0.764	0.767	0.735	0.687	0.645	0.6	0.552	0.482	0.393	0.31	0.179
0.28	phat1	250	1	0.772	0.776	0.734	0.694	0.639	0.592	0.533	0.465	0.385	0.303	0.19
0.29	phat1	250	1	0.77	0.773	0.74	0.693	0.649	0.595	0.538	0.468	0.383	0.297	0.188
0.3	phat1	250	1	0.766	0.766	0.729	0.685	0.64	0.596	0.537	0.463	0.372	0.287	0.182
1e-9	phat1	500	2	0	0	0	0	0	0	0	0	0	0	0
0.01	phat1	500	2	0	0	0	0	0	0	0	0	0	0	0
0.02	phat1	500	2	0	0	0	0	0	0	0	0	0	0	0
0.03	phat1	500	2	0.055	0.304	0.19	0.078	0.023	0.002	0.001	0	0	0	0
0.04	phat1	500	2	0.357	0.455	0.395	0.335	0.285	0.248	0.211	0.134	0.056	0.003	0
0.05	phat1	500	2	0.539	0.601	0.55	0.475	0.408	0.363	0.294	0.224	0.145	0.093	0.044
0.06	phat1	500	2	0.603	0.644	0.599	0.549	0.482	0.432	0.364	0.294	0.214	0.142	0.076
0.07	phat1	500	2	0.664	0.696	0.647	0.601	0.537	0.467	0.416	0.345	0.276	0.193	0.099
0.08	phat1	500	2	0.734	0.753	0.708	0.657	0.594	0.537	0.472	0.401	0.321	0.242	0.118
0.09	phat1	500	2	0.759	0.774	0.729	0.686	0.636	0.582	0.504	0.426	0.348	0.252	0.158
0.1	phat1	500	2	0.777	0.788	0.751	0.713	0.654	0.593	0.537	0.468	0.388	0.301	0.18
0.11	phat1	500	2	0.786	0.792	0.745	0.701	0.662	0.621	0.554	0.489	0.414	0.328	0.208
0.12	phat1	500	2	0.792	0.794	0.759	0.72	0.67	0.622	0.567	0.503	0.433	0.345	0.224
0.13	phat1	500	2	0.792	0.798	0.757	0.716	0.685	0.64	0.595	0.519	0.45	0.357	0.236
0.14	phat1	500	2	0.799	0.801	0.774	0.732	0.702	0.65	0.594	0.529	0.454	0.372	0.257
0.15	phat1	500	2	0.821	0.821	0.783	0.755	0.712	0.662	0.6	0.534	0.462	0.365	0.238
0.16	phat1	500	2	0.821	0.821	0.794	0.749	0.702	0.667	0.607	0.533	0.448	0.367	0.241
0.17	phat1	500	2	0.817	0.818	0.783	0.744	0.706	0.658	0.603	0.539	0.458	0.368	0.257
0.18	phat1	500	2	0.833	0.833	0.795	0.749	0.705	0.656	0.595	0.538	0.459	0.382	0.266
0.19	phat1	500	2	0.83	0.829	0.793	0.752	0.704	0.659	0.61	0.539	0.464	0.387	0.269
0.2	phat1	500	2	0.825	0.828	0.784	0.748	0.703	0.667	0.614	0.549	0.474	0.39	0.271
0.21	phat1	500	2	0.827	0.826	0.797	0.753	0.721	0.666	0.606	0.548	0.491	0.382	0.259
0.22	phat1	500	2	0.83	0.833	0.798	0.76	0.723	0.674	0.619	0.561	0.482	0.399	0.262
0.23	phat1	500	2	0.832	0.834	0.805	0.775	0.737	0.686	0.639	0.572	0.496	0.397	0.262
0.24	phat1	500	2	0.849	0.851	0.819	0.79	0.75	0.699	0.646	0.579	0.51	0.415	0.275
0.25	phat1	500	2	0.855	0.856	0.814	0.781	0.751	0.698	0.65	0.59	0.5	0.416	0.298
