"pred","outcome"
0.0571944378,0
0.8885617907,1
0.00360659890000004,0
0.4259878741,1
0.00944914649999995,0
0.8450763884,1
0.0107275993,0
0.6829829527,1
0.00974570910000006,0
0.013464566,0
0.0138039742,0
0.2944981727,1
0.0349248104,0
0.0440384563,1
0.7523773954,1
0.00519788259999998,0
0.00644220340000001,0
0.2626678273,0
0.318630583,1
0.3272788579,0
0.00702396409999995,0
0.0744001735000001,0
0.0102806553,0
0.0223275080999999,0
0.0040182379,0
0.0424607661,0
0.1183035179,0
0.00857258930000004,0
0.00526183670000002,0
0.00462552660000004,0
0.5314077131,0
0.7618105315,1
0.00392027510000004,0
0.00645335709999995,0
0.0077554795,0
0.5894762153,1
0.00203680429999997,0
0.0020265881,0
0.0102055746,0
0.00820418889999996,0
0.1823322578,0
0.0107964544,0
0.3495106168,1
0.0033725993,0
0.00109069090000002,0
0.0145226624,0
0.00884823310000005,0
0.0281569522,0
0.0158923629,0
0.0347288075,0
0.0860202862,0
0.0190200632999999,0
0.0118577927,0
0.00483297100000002,0
0.0217332314999999,0
0.0469543826,0
0.4797904001,1
0.013014513,0
0.00870635509999995,0
0.7068295213,1
0.00641498190000001,0
0.0775444019,0
0.00685182449999999,0
0.083151646,0
0.5998622832,1
0.00350938290000002,0
0.0124986030999999,0
0.6261046885,0
0.0858068169,0
0.0103400401,0
0.8347479377,0
0.00477781820000001,0
0.3987291222,0
0.0081912462,0
0.00224978330000003,0
0.0067137236,0
0.00563590690000004,0
0.1281363685,0
0.1818398203,0
0.0143540289,0
0.00135610880000003,0
0.0214428666000001,0
0.1587182984,0
0.00894794649999997,0
0.0963195817,1
0.0112646725,0
0.015339542,0
0.0183287786,0
0.0107275993,0
0.8932607334,0
0.0580143427000001,0
0.1101109308,0
0.0117493461,0
0.5957465568,0
0.0039202492,0
0.0265916892,0
0.00654417389999995,0
0.00829601030000005,1
0.4039165355,0
0.3974019043,1
0.0390645884,0
0.8219375622,1
0.0231561955,0
0.00731733779999999,0
0.1839254103,0
0.0362097568,0
0.0326604744,0
0.1724334419,0
0.00459164560000003,0
0.732929941,0
0.3380056175,1
0.267058738,0
0.6769312037,0
0.1669542443,0
0.3380056175,1
0.9716557632,1
0.9721234371,1
0.2587513344,1
0.0266440471,0
0.0574219114,0
0.7854342529,1
0.1773715705,0
0.5606192933,0
0.0333742331,0
0.1853570049,0
0.1340152678,1
0.4228098073,1
0.7255673461,0
0.2189227588,0
0.3615284405,0
0.069518097,0
0.0792708318000001,0
0.9806397747,1
0.1119683291,0
0.0792708318000001,0
0.1695616975,0
0.5606113228,1
0.0474376808,0
0.7888656371,1
0.5524596733,1
0.2363101515,0
0.9545031883,1
0.5263218061,1
0.2401421261,0
0.9749052939,1
0.00439189149999997,0
0.0268488314000001,0
0.3725326171,1
0.9343497163,1
0.7506877221,1
0.320347207,0
0.1148857989,0
0.9769098703,1
0.6557496851,1
0.6111760069,1
0.5528323932,1
0.0395090266,0
0.0129889378,0
0.0594409353000001,0
0.8802792162,1
0.0192592836,0
0.00135869649999998,0
0.0319023961,0
0.9778970751,1
0.9887443278,1
0.8936405038,0
0.0313333997,0
0.00460331780000001,0
0.0314926026,0
0.9463317192,1
0.0678176783,0
0.331688423,1
0.6229174945,1
0.7285662984,1
0.9784943955,1
0.2001517479,1
0.0868002816,0
0.00310485069999999,0
0.8501922822,1
0.946078888,0
0.7333657045,1
0.5549464491,0
0.9938514657,1
0.0793488265,0
0.0714522579,0
0.1873322524,1
0.00438587459999995,0
0.8710539039,1
0.0629965295,0
0.0342783956,0
0.044211302,0
0.00310485069999999,0
0.0214896991,0
0.8872276727,0
0.3917244933,0
0.6316351221,1
0.0844062219,0
0.0635794082,0
0.9671741014,1
0.9876318607,1
0.8967970397,1
0.9968949177,1
0.6726844767,1
0.0351714869,0
0.9709278569,1
0.0938019179,0
0.0908446467,0
0.5360874345,0
0.0820016661,0
0.9416637995,1
0.6318926957,0
0.9389413106,1
0.9880245566,1
0.8655207876,1
0.7783846375,1
0.8904800571,1
0.1969032856,0
0.3936600976,1
0.9758537123,1
0.2082211566,0
0.8823493806,1
0.9607645969,1
0.0791595999,1
0.9019645982,0
0.9686871884,1
0.6159675174,1
0.5013338686,1
0.8972921981,1
0.0301065166,0
0.8602156282,1
0.2237228693,1
0.0155364140000001,0
0.5618637619,1
0.0733772142,0
0.619931432,1
0.0316747783,0
0.0635975743,0
0.6739703002,1
0.1978054699,0
0.9245980912,1
0.8098731833,0
0.2716423358,0
0.4931911531,1
0.0426755049999999,0
0.9864366993,1
0.0199654497,0
0.1671391743,0
0.0395165119000001,0
0.9863213395,1
0.4502329046,0
0.4539022564,0
0.916186471,1
0.9285983613,1
0.6706840596,0
0.4297482407,0
0.7969429001,0
0.1285392534,0
0.1343786905,0
0.0366446945,0
0.0262551752,0
0.497425638,0
0.0610750869,0
0.4334637937,1
0.0502277581,0
0.0216247926000001,0
0.1625079533,0
0.016464463,0
0.8172572773,1
0.8986527532,0
0.0322997724,0
0.4275513345,1
0.0226979555,0
0.0629023947,0
0.9398979555,1
0.00956140729999999,0
0.7939663953,0
0.5826225205,1
0.0933264813,0
0.035447128,0
0.0258116935,0
0.0353371475000001,0
0.8229908919,1
0.9694823543,1
0.0696362621,0
0.0964434507,0
0.0696420508,0
0.5287309189,1
0.4945509943,0
0.0344568854,0
0.9200162159,1
0.0265371125,0
0.0491868337,0
0.0866901237,0
0.0470442931,0
0.1345883142,0
0.3652900768,0
0.3660203084,1
0.0121407812,0
0.0566672334,0
0.9575754359,1
0.5550729884,0
0.0100100910000001,0
0.6699249702,0
0.690305813,1
0.9334915199,1
0.898102124,1
0.9336195894,1
0.2301518122,0
0.9420140222,1
0.9760753965,1
0.1647048219,0
0.0247261878,0
0.4350717579,1
0.0748403202,0
0.7651281299,0
0.0176608901,0
0.8524320012,1
0.9564700484,1
0.5452572614,0
0.0292917125,0
0.348038829,0
0.00333198810000002,0
0.0222964081,0
0.127108139,0
0.0994908726,1
0.0461232719,0
0.0510776232,1
0.0658893813,0
0.7464675991,1
0.0284127782,0
0.6122692572,0
0.1260446636,1
0.2182287934,0
0.6615663268,1
0.8685571812,1
0.3416063877,0
0.0279027777999999,0
0.7654388306,0
0.5594644171,0
0.0561060554,0
0.9865675699,1
0.9894494709,1
0.6096351743,1
0.1820086649,0
0.8665776715,1
0.8057111387,1
0.932177924,1
0.9733863411,1
0.99702396,1
0.8040728201,0
0.6488588346,0
0.1625917893,0
0.6976965768,1
0.0261096371,0
0.5785006237,1
0.0723605103,0
0.457554122,1
0.9947337896,1
0.0496732535,0
0.0491372559,0
0.0140199676,0
0.9972688935,1
0.9701351401,1
0.1835647365,0
0.0491226695,0
0.0881062315,0
0.7118544004,0
0.6959189949,1
0.0193151945,0
0.0272487232,0
0.00746129070000001,0
0.0391981378,0
0.3068649534,0
0.9845051009,1
0.9721273809,1
0.0110658769999999,0
0.0333742331,0
0.7182784987,1
0.9789865066,1
0.0503087636,0
0.029406282,0
0.1353465498,0
0.0183764948,0
0.216125491,0
0.9882454004,1
0.9540228655,1
0.00390362320000004,0
0.0437573752,0
0.1231232712,0
0.8685380782,0
0.671837732,1
0.4094121255,0
0.0425266622,0
0.1531394195,0
0.8772219327,1
0.9634027524,1
0.9993645543,1
0.5798655998,0
0.8455018866,0
0.9957880269,1
0.779044835,1
0.8156399508,0
0.5551838883,0
0.0601666479,0
0.027814076,0
0.0263968693,0
0.0177167785,0
0.0194825306999999,0
0.00313891389999998,0
0.1817732288,0
0.00857528600000002,0
0.0187216636,0
0.0120671091,0
0.9100324642,1
0.0117378416,0
0.00804479859999996,0
0.1661109175,1
0.1962366594,0
0.367972938,0
0.0318588265999999,0
0.0135698262,0
0.0099038052,0
0.2077689678,0
0.00185817050000003,0
0.0217770497999999,0
0.00551559040000005,0
0.0372747529,0
0.3799946415,0
0.00746535150000005,0
0.0631247633000001,0
0.0488654287,1
0.9416331393,1
0.0156111396,0
0.007735677,0
0.00241791039999995,0
0.000463474599999958,0
0.3021377817,1
0.00821085129999999,0
0.4593438917,1
0.1640944324,0
0.0467026352,0
0.0223723799,0
0.9154542662,1
0.0200402849,0
0.000908263799999975,0
0.0107121726,0
0.00265236869999996,0
0.00990842999999997,0
0.3571985123,1
0.00888704699999998,0
0.3384012822,0
0.1315138349,0
0.0139159817,0
0.1419482363,0
0.0182051742,0
0.0122786429,0
0.4952071256,1
0.1393568159,0
0.00767107040000004,0
0.00568807950000005,0
0.2396177728,1
0.0397037754,0
0.1891436963,0
0.00200721000000004,0
0.0237018591,0
0.1662710323,1
0.8340995137,1
0.8764461103,1
0.0601779511,0
0.00415724890000002,0
0.2433643127,0
0.4279154595,0
0.068625366,0
0.0122688328,0
0.00156140279999994,0
0.0287116273,0
0.0611142692,0
0.0830812127,0
0.0134613248,0
0.00183186540000002,0
0.00137699629999999,0
0.00175713580000003,0
0.0715590392,0
0.222911106,1
0.2360428886,0
0.0370192083000001,0
0.0137090607,0
0.5332826407,1
0.1040243139,0
0.0129032505,0
0.2397102768,0
0.00903451290000001,0
0.0136809031,0
0.8090707244,0
0.00669832439999996,0
0.0239293117,0
0.00694432749999996,0
0.079434829,0
0.1044177906,0
0.4530941602,0
0.0114885447999999,0
0.1784326281,0
0.0728759852,0
0.1396126778,0
0.2114087612,0
0.00827708270000005,0
0.1776163489,0
0.1248674933,0
0.0211878803,0
0.00135073509999994,0
0.0128578819,0
0.0216938139,0
0.00787731229999999,0
0.0582091961,0
0.00916816919999996,0
0.012777746,0
0.6766318992,0
0.8761108633,0
0.0993237463,0
0.00737848080000003,0
0.00153404550000003,0
0.0024745102,0
0.1746061408,0
0.5169501901,1
0.5879507507,0
0.00998544209999996,0
0.00374908529999995,0
0.00986438059999994,0
0.0258333224,0
0.1475892799,0
0.1898910843,0
0.00207419480000004,0
0.1436974568,0
0.0439233561,0
0.0328942561,0
0.7066214896,1
0.00233058090000005,0
0.0141883016,0
0.0406777337999999,0
0.2738241972,0
0.1541920756,0
0.8965807219,1
0.5383189647,1
0.0100028522,0
0.00242938790000002,0
0.0082064503,0
0.8942552612,1
0.0730393081,1
0.0168256527,0
0.0576920286,0
0.5661428835,0
0.0325349759,0
0.0223418201,0
0.1588127122,0
0.1508759821,0
0.6427753233,1
0.972064875,1
0.0113167652,0
0.8695793893,1
0.5774568303,0
0.00874267380000004,0
0.016448972,0
0.1848940158,0
0.7424379089,1
0.0204053436,0
0.0977067689,0
0.2716872302,0
0.5896422828,0
0.00696764549999995,0
0.0109884032999999,0
0.00849599609999996,0
0.0576816239,0
0.1337525643,0
0.5551974149,1
0.9501104237,1
0.00168232079999997,0
0.6461300433,1
0.5203033403,1
0.4028136412,1
0.0113613491,0
0.8304182337,1
0.00803907039999996,0
0.1466702204,0
0.7262000855,0
0.7627506296,0
0.1076716006,0
0.60438568,0
0.2063385716,0
0.0888543562,0
0.1723759877,0
0.050088016,0
0.2009887207,0
0.0136778583,0
0.00786418889999996,0
0.7946185267,1
0.0957564449,0
0.0552207298,0
0.1620386988,0
0.00137782630000005,0
0.5999685035,1
0.9413683547,1
0.0758468197,0
0.0134973763,0
0.0360251834999999,0
0.3672219631,1
0.0321188610000001,0
0.0344389052,0
0.0159726694,0
0.0493746993,1
0.1482778275,1
0.3562710595,1
0.5003180317,0
0.1989283829,1
0.9534534017,1
0.0114794214,0
0.0399334987,0
0.0112540701,0
0.5085200247,1
0.00950675560000003,0
0.0218712935000001,0
0.00301535210000003,0
0.343245369,1
0.00194633330000005,0
0.4821840381,0
0.3408531913,1
0.643214194,1
